FLAGS	en_US.utf8	zh_CN.utf8	location
	KPI name invalid: 	KPI 名称无效：	msg/ssc_errors.cat
	KPI view	KPI 视图	panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
	KPI without context	没有上下文的 KPI	msg/ssc_wizards.cat
	KPIs	KPIs	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Label	标签	"panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
msg/ssc_wizards.cat"
	Labels	标签	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
	Labelsets	标签组	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
	Lag	滞后	panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
	Lastvalue database OK	Lastvalue database OK	dplist/dptexts.txt
	Lastvalue database has errors	Lastvalue database has errors	dplist/dptexts.txt
	Leading and trailing whitespaces have been removed.	前导和尾随空格已被删除。	msg/ssc_errors.cat
	License OK	License OK	dplist/dptexts.txt
	License check failed	License check failed	dplist/dptexts.txt
	License check successful	License check successful	dplist/dptexts.txt
	License expires	License expires	dplist/dptexts.txt
	License insufficent	License insufficent	dplist/dptexts.txt
	License invalid@@	License invalid@@	dplist/dptexts.txt
	Line Chart: Invalid value for forecast type.	折线图：预测类型的值无效。	msg/ssc_errors.cat
	Line Chart: The length of the data array and corresponding time array differs.	折线图：数据数组和对应时间数组的长度不同。	msg/ssc_errors.cat
	Line Chart: The length of the forecast data array and corresponding time array differs.	折线图：预测数据数组和对应时间数组的长度不同。	msg/ssc_errors.cat
	Line chart	折线图	"panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	Line number	行号	msg/ssc_wizards.cat
	List of KPI instances to be created	要创建的 KPI 实例列表	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Load finished	加载完成	msg/ssc_wizards.cat
	Loading data ...	加载数据中 ...	msg/ssc_wizards.cat
	Low alert occured	Low alert occured	dplist/dptexts.txt
	Low warning occured	Low warning occured	dplist/dptexts.txt
	Lowest value	最低数值	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	MAE	MAE	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	MS Shell Dlg 2,-1,11,5,50,0,0,0,0,0	MS Shell Dlg 2,-1,11,5,50,0,0,0,0,0	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_03.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_04.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Handover.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl
panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl"
	MS Shell Dlg 2,-1,13,5,50,0,0,0,0,0	MS Shell Dlg 2,-1,13,5,50,0,0,0,0,0	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
panels/SmartSCADA/Wizard/Classification/helper/labelEditor.pnl
panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl"
	MS Shell Dlg 2,-1,16,5,50,0,0,0,0,0	MS Shell Dlg 2,-1,16,5,50,0,0,0,0,0	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	MS Shell Dlg 2,-1,9,5,50,0,0,0,0,0	MS Shell Dlg 2,-1,9,5,50,0,0,0,0,0	"panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	Maintain KPI configuration	维护 KPI 配置	msg/ssc_wizards.cat
	Maintenance necessary	Maintenance necessary	dplist/dptexts.txt
	Maintenance shortly	Maintenance shortly	dplist/dptexts.txt
	Max	最大	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl"
	Maximum count of DPEs reached. Automatic import aborted.	已达到最大 DPE 数。自动导入中止。	msg/ssc_errors.cat
	Maximum record count almost reached	Maximum record count almost reached	dplist/dptexts.txt
	Maximum record count reached - please check the database!	Maximum record count reached - please check the database!	dplist/dptexts.txt
	Mean	平均	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl"
	Mean absolut Error	平均绝对误差	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	Mean interval	平均间隔	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	Mean value	平均值	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	Memory OK	Memory OK	dplist/dptexts.txt
	Memory almost full	Memory almost full	dplist/dptexts.txt
	Memory full	Memory full	dplist/dptexts.txt
	Min	最小	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl"
	Mismatch at input parameter number: 	输入参数编号不匹配：	msg/ssc_errors.cat
	Mismatch between number of parameters and parameter types: 	参数数量和参数类型不匹配：	msg/ssc_errors.cat
	Missmatch in number of input parameters	输入参数数量不匹配	msg/ssc_errors.cat
	Model	模型	msg/ssc_wizards.cat
	Model loaded	已加载模型	msg/ssc_wizards.cat
	NMAE	名称	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	New KPI config	新的 KPI 配置	msg/ssc_wizards.cat
	New configuration	新配置	msg/ssc_wizards.cat
	New labelset	新建标签	panels/SmartSCADA/Wizard/Classification/helper/labelEditor.pnl
	New session from datamining model	数据挖掘模型的新进程	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	Newest alert archive OK	Newest alert archive OK	dplist/dptexts.txt
	No DPE assignment possible since the parameter already contains the starttime of the timed function.	由于参数已包含定时功能的开始时间，因此无法进行 DPE 分配。	msg/ssc_wizards.cat
	No Response	没有应答	msg/fwWebViewPlus.cat
	No backup is running	No backup is running	dplist/dptexts.txt
	No data available	没有可用数据	msg/ssc_wizards.cat
	No license available for $1.	没有可用的许可证$1。	msg/ssc_errors.cat
	No maintenance necessary	No maintenance necessary	dplist/dptexts.txt
	No more free KPI instances available	没有更多可用的免费 KPI 实例	msg/ssc_wizards.cat
	No reference DPE selected	未选择参考 DPE	msg/ssc_wizards.cat
	No session selected	未选择进程	msg/ssc_wizards.cat
	No trigger	无触发器	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Node type:	节点类型：	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Normalized mean absolut error	归一化平均绝对误差	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	Not saved - Context and parameter search does not return any results.	未保存 - 上下文和参数搜索不返回任何结果。	msg/ssc_wizards.cat
	Number of active KPI Instances and available KPI Instances: active/available	激活的 KPI 实例数和可用 KPI 实例数：激活/可用	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Number of clusters estimated	估计的集群数	msg/ssc_wizards.cat
	Number of clusters found:	簇数量：	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
	Number of values	数据数量	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	OK	OK	"panels/SmartSCADA/Wizard/Classification/helper/labelEditor.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Handover.pnl
dplist/dptexts.txt"
	"OK - overwrites all KPI instances with the same context. 
Copy - creates a duplicate of the instance."	"OK - 覆盖所有具有相同上下文的 KPI 实例。 
复制 - 创建实例的副本。"	msg/ssc_wizards.cat
	OOB error rate	OOB 错误率	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_04.pnl
	OPCHDARead	OPCHDARead	dplist/dptexts.txt
	OPCHDARead@%s@	OPCHDARead@%s@	dplist/dptexts.txt
	OPCRead	OPCRead	dplist/dptexts.txt
	OPCRead@%s@	OPCRead@%s@	dplist/dptexts.txt
	OPCUAAlarm	OPCUAAlarm	dplist/dptexts.txt
	OPCUAAlarm@%s@	OPCUAAlarm@%s@	dplist/dptexts.txt
	OPCUAEvent	OPCUAEvent	dplist/dptexts.txt
	OPCUAEvent@%s@	OPCUAEvent@%s@	dplist/dptexts.txt
	OPCUAHARead	OPCUAHARead	dplist/dptexts.txt
	OPCUAHARead@%s@	OPCUAHARead@%s@	dplist/dptexts.txt
	OPCUARead	OPCUARead	dplist/dptexts.txt
	OPCUARead@%s@	OPCUARead@%s@	dplist/dptexts.txt
	OPCUAWrite	OPCUAWrite	dplist/dptexts.txt
	OPCUAWrite@%s@	OPCUAWrite@%s@	dplist/dptexts.txt
	OPCWrite	OPCWrite	dplist/dptexts.txt
	OPCWrite@%s@	OPCWrite@%s@	dplist/dptexts.txt
	OPC_AE	OPC_AE	dplist/dptexts.txt
	OPC_AE@%s@	OPC_AE@%s@	dplist/dptexts.txt
	OPC_AE_Dynamic	OPC_AE_Dynamic	dplist/dptexts.txt
	OPC_AE_Dynamic@%s@	OPC_AE_Dynamic@%s@	dplist/dptexts.txt
	OPC_AE_Simple	OPC_AE_Simple	dplist/dptexts.txt
	OPC_AE_Simple@%s@	OPC_AE_Simple@%s@	dplist/dptexts.txt
	Online	在线	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Online value	在线数值	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Open selected DPE(s) with	打开选定的 DPE(s)	panels/SmartSCADA/Wizard/DataMining/DataMining_Handover.pnl
	Other	其他	msg/fwWebViewPlus.cat
	Overwrite	覆盖	msg/ssc_wizards.cat
	PUSH_BUTTON2	PUSH_BUTTON2	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	PUSH_BUTTON4	PUSH_BUTTON4	"panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl"
	PUSH_BUTTON7	PUSH_BUTTON7	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	Parameter	参数	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Parameter already exists	参数已存在	msg/ssc_wizards.cat
	Parameter contains invalid characters.	参数包含无效字符。	msg/ssc_errors.cat
	Parameter does not exist	参数不存在	msg/ssc_wizards.cat
	Parameter is used in formula	参数用于公式	msg/ssc_wizards.cat
	Parameter type does not exist. Error with parameter 	参数类型不存在。参数错误	msg/ssc_errors.cat
	Parameters	Parameters	dplist/dptexts.txt
	Parameters@%s@	Parameters@%s@	dplist/dptexts.txt
	Plant model	工厂模型	"panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
msg/ssc_wizards.cat"
	Please assign labels to all clusters (Clustering)	请为所有集群分配标签（集群）	msg/ssc_wizards.cat
	"Please assign values to the parameters.
You can configure parameters for a large number of devices by using KPI context,
which can be a DPE name pattern, DP type or plant model path."	"请为参数赋值。
您可以使用KPI上下文为大量设备配置参数，
可以是DPE名称模式、DP类型或工厂模型路径。"	msg/ssc_wizards.cat
	Please choose DPE(s) and timerange in the selection panel.	请在选择面板中选择 DPE(s) 和时间范围。	msg/ssc_wizards.cat
	Please input a calculation formula or a predefined KPI calculation function in the text box. Please note that only the parameters from the parameter list can be used in the formula or function.	请在文本框中输入计算公式或预定义的KPI计算函数。请注意，只有参数列表中的参数才能在公式或函数中使用。	msg/ssc_wizards.cat
	Please select DPEs	请选择 DPE	msg/ssc_wizards.cat
	Please select DPEs (dragging datapoints into the table)	请选择 DPE（将数据点拖入表中）	msg/ssc_wizards.cat
	Please select KPIs	请选择关键绩效指标	msg/ssc_wizards.cat
	Please select a KPI instance	请选择一个 KPI 实例	msg/ssc_wizards.cat
	Please select the KPI type	请选择KPI类型	msg/ssc_errors.cat
	Position actual Value@%3.0f@%	Position actual Value@%3.0f@%	dplist/dptexts.txt
	Power consumption@%3.1f@A	Power consumption@%3.1f@A	dplist/dptexts.txt
	Predefined KPI functions	预定义的 KPI 函数	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Predicting...	预测...	msg/ssc_wizards.cat
	Prediction	Prediction	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_04.pnl
	Press Enter to create a new KPI definition	按 Enter 创建新的 KPI 定义	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Press Enter to create a new KPI parameter	按 Enter 创建新的 KPI 参数	panels/SmartSCADA/Wizard/kpi/KPI_definition.pnl
	Preview	预习	msg/ssc_wizards.cat
	Query building error: FROM statement is empty!	查询构建错误：FROM 语句为空！	msg/ssc_errors.cat
	Query building error: Please set start and end time!	查询构建错误：请设置开始和结束时间！	msg/ssc_errors.cat
	Query building error: SELECT statement is empty!	查询构建错误：SELECT 语句为空！	msg/ssc_errors.cat
	Query building error: Start time must be before end time!	查询构建错误：开始时间必须早于结束时间！	msg/ssc_errors.cat
	Radar Chart: The length of the data array does not match the number of clusters and axes.	雷达图：数据数组的长度与簇数和轴数不匹配。	msg/ssc_errors.cat
	Radar chart	雷达图	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
	Random forest model saved	随机森林模型已保存	msg/ssc_wizards.cat
	Recalculate KPI instance	重新计算 KPI 实例	msg/ssc_wizards.cat
	Record count OK	Record count OK	dplist/dptexts.txt
	Redu@@	Redu@@	dplist/dptexts.txt
	Redu_2@@	Redu_2@@	dplist/dptexts.txt
	Refresh	刷新	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	Refresh all	全部刷新	panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
	Refresh values	刷新数值	panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
	Reload KPI instance	重新加载 KPI 实例	panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
	Reload all KPI instances	重新加载所有 KPI 实例	panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
	Remove all DPEs from table	从表中删除所有 DPE	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	Remove selected DPE(s) from table	从表中删除选定的 DPE	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	Report@@	Report@@	dplist/dptexts.txt
	Report_2@@	Report_2@@	dplist/dptexts.txt
	Result:	Result:	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_04.pnl
	Runner type invalid: 	跑步者类型无效：	msg/ssc_errors.cat
	Save	保存	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	Scale	Scale	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	Scatter plot	散点图	"panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	Schema Disabled	模式已禁用	msg/fwWebViewPlus.cat
	Schema Not Supported	不支持架构	msg/fwWebViewPlus.cat
	Script building error, please check parameters!	脚本构建错误，请检查参数！	msg/ssc_errors.cat
	Search in context	在上下文中搜索	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Select a KPI definition to create new KPI instance(s). The type of existing KPI instances cannot be changed.	选择一个 KPI 定义以创建新的 KPI 实例。 现有 KPI 实例的类型无法更改。	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	"Select a parameter for the online value trigger. "" * "" selects all parameters for the online value trigger. "	选择在线值触发器的参数。 “*”选择在线值触发的所有参数。	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Select a predefined timed function for the recalculation of the KPI instance. Timed functions can be created in PARA module.	选择一个预定义的定时函数来重新计算 KPI 实例。 定时功能可以在 PARA 模块中创建。	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Select node	选择节点	panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
	Select online trigger	选择在线触发	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Select reference DPE	选择参考 DPE	panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl
	Select the DP(E) you want to delete.	选择要删除的 DP(E)。	msg/ssc_errors.cat
	Select the KPI instances to be deleted.	选择要删除的 KPI 实例。	msg/ssc_errors.cat
	Select the KPI parameter to be deleted.	选择要删除的 KPI 参数。	msg/ssc_errors.cat
	Select the KPI you want to delete.	选择要删除的 KPI。	msg/ssc_errors.cat
	Select the session to be deleted.	选择要删除的进程。	msg/ssc_errors.cat
	Select time range	选择时间范围	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	Selected DPE	已经选择的DPE	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	Selected datapoints	选定的数据点	panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
	Selection Changed	选择已更改	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Server 1 - Active - No connection to redundant peer	Server 1 - Active - No connection to redundant peer	dplist/dptexts.txt
	Server 1 - Active due to split mode	Server 1 - Active due to split mode	dplist/dptexts.txt
	Server 1 - Blocking Event Manager	Server 1 - Blocking Event Manager	dplist/dptexts.txt
	Server 1 - Forced active	Server 1 - Forced active	dplist/dptexts.txt
	Server 1 - Passive	Server 1 - Passive	dplist/dptexts.txt
	Server 1 - Preferred active	Server 1 - Preferred active	dplist/dptexts.txt
	Server 1 - Set active automatically	Server 1 - Set active automatically	dplist/dptexts.txt
	Server 2 - Active - No connection to redundant peer	Server 2 - Active - No connection to redundant peer	dplist/dptexts.txt
	Server 2 - Active due to split mode	Server 2 - Active due to split mode	dplist/dptexts.txt
	Server 2 - Blocking Event Manager	Server 2 - Blocking Event Manager	dplist/dptexts.txt
	Server 2 - Forced active	Server 2 - Forced active	dplist/dptexts.txt
	Server 2 - Passive	Server 2 - Passive	dplist/dptexts.txt
	Server 2 - Preferred active	Server 2 - Preferred active	dplist/dptexts.txt
	Server 2 - Set active automatically	Server 2 - Set active automatically	dplist/dptexts.txt
	Session	进程	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
msg/ssc_wizards.cat"
	"Session ""temp"" datapoint is missing"	进程“临时”数据点丢失	msg/ssc_wizards.cat
	"Session ""temp"" must not be deleted"	不能删除进程“temp”	msg/ssc_wizards.cat
	Session name is empty	进程名称为空	msg/ssc_wizards.cat
	Session time range	进程时间范围	msg/ssc_wizards.cat
	Sessions	进程	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	Show descrete values from root cause analysis	显示来自根本原因分析的离散值	panels/SmartSCADA/Wizard/kpi/kpiTable.pnl
	Show internal DPs	显示内部 DP	"panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
msg/ssc_wizards.cat"
	Shows the calculation formula or the function for the KPI calculation.	显示 KPI 计算的计算公式或函数。	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Shows the current state of the kpi instance. Changing the state is only possible in single edit mode.	显示 kpi 实例的当前状态。 只有在单一编辑模式下才能更改状态。	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Simulator	模拟器	msg/ssc_errors.cat
	Single edit	单次编辑	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Single edit mode is only available for an existing KPI instance. Please select a KPI instance.	单一编辑模式仅适用于现有 KPI 实例。请选择一个 KPI 实例。	msg/ssc_wizards.cat
	Single edited KPI instances were not changed through enhanced edit mode. Note: Single edited KPI instances could only be changed in single edit mode.	单个编辑的 KPI 实例未通过增强编辑模式进行更改。 注意：单次编辑的 KPI 实例只能在单次编辑模式下更改。	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Speed@%3.0f@1/min	Speed@%3.0f@1/min	dplist/dptexts.txt
	SplitConnect	SplitConnect	dplist/dptexts.txt
	SplitConnect@%s@	SplitConnect@%s@	dplist/dptexts.txt
	SplitConnect_2	SplitConnect_2	dplist/dptexts.txt
	SplitConnect_2@%s@	SplitConnect_2@%s@	dplist/dptexts.txt
	SplitGet	SplitGet	dplist/dptexts.txt
	SplitGet@%s@	SplitGet@%s@	dplist/dptexts.txt
	SplitGet_2	SplitGet_2	dplist/dptexts.txt
	SplitGet_2@%s@	SplitGet_2@%s@	dplist/dptexts.txt
	Start search	开始寻找	"panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl"
	Statealert FALSE _mp_BIT_CONDITION	Statealert FALSE _mp_BIT_CONDITION	dplist/dptexts.txt
	Statealert FALSE _mp_DRIVE1	Statealert FALSE _mp_DRIVE1	dplist/dptexts.txt
	Statealert FALSE _mp_DRIVE2	Statealert FALSE _mp_DRIVE2	dplist/dptexts.txt
	Statealert FALSE _mp_PUMP1	Statealert FALSE _mp_PUMP1	dplist/dptexts.txt
	Statealert FALSE _mp_PUMP2	Statealert FALSE _mp_PUMP2	dplist/dptexts.txt
	Statealert FALSE _mp_SLIDE_VALVE1	Statealert FALSE _mp_SLIDE_VALVE1	dplist/dptexts.txt
	Statealert FALSE _mp_SLIDE_VALVE2	Statealert FALSE _mp_SLIDE_VALVE2	dplist/dptexts.txt
	Statealert FALSE _mp_SLIDE_VALVE_HAND1	Statealert FALSE _mp_SLIDE_VALVE_HAND1	dplist/dptexts.txt
	Statealert TRUE _mp_BIT_CONDITION	Statealert TRUE _mp_BIT_CONDITION	dplist/dptexts.txt
	Statealert TRUE _mp_DRIVE1	Statealert TRUE _mp_DRIVE1	dplist/dptexts.txt
	Statealert TRUE _mp_DRIVE2	Statealert TRUE _mp_DRIVE2	dplist/dptexts.txt
	Statealert TRUE _mp_PUMP1	Statealert TRUE _mp_PUMP1	dplist/dptexts.txt
	Statealert TRUE _mp_PUMP2	Statealert TRUE _mp_PUMP2	dplist/dptexts.txt
	Statealert TRUE _mp_SLIDE_VALVE1	Statealert TRUE _mp_SLIDE_VALVE1	dplist/dptexts.txt
	Statealert TRUE _mp_SLIDE_VALVE2	Statealert TRUE _mp_SLIDE_VALVE2	dplist/dptexts.txt
	Statealert TRUE _mp_SLIDE_VALVE_HAND1	Statealert TRUE _mp_SLIDE_VALVE_HAND1	dplist/dptexts.txt
	States	States	dplist/dptexts.txt
	States@%s@	States@%s@	dplist/dptexts.txt
	Stop Calculation	停止计算	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	Stops creating KPI instances based on context (no roll back)	停止根据上下文创建 KPI 实例（不回滚）	panels/SmartSCADA/Wizard/kpi/KPI_Association.pnl
	Stops the calculation	停止该计算	"panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_CrossCorrelation.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_Session.pnl
panels/SmartSCADA/Wizard/DataMining/DataMining_TimeframeAnalysis.pnl"
	Success	成功	msg/fwWebViewPlus.cat
	Successfully registered KPI. Failed to create archive. dpCopyConfig() error code: 	成功注册KPI。无法创建存档。 dpCopyConfig() 错误代码：	msg/ssc_errors.cat
	Suggest Clusters	建议的簇	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
	Suggest No. clusters	建议簇的数量	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
	Sum alert	Sum alert	dplist/dptexts.txt
	Sum danger	Sum danger	dplist/dptexts.txt
	Sum warning	Sum warning	dplist/dptexts.txt
	Sumalert FALSE _mp_ANALOG2	Sumalert FALSE _mp_ANALOG2	dplist/dptexts.txt
	Sumalert FALSE _mp_DRIVE1	Sumalert FALSE _mp_DRIVE1	dplist/dptexts.txt
	Sumalert FALSE _mp_DRIVE2	Sumalert FALSE _mp_DRIVE2	dplist/dptexts.txt
	Sumalert FALSE _mp_PUMP1	Sumalert FALSE _mp_PUMP1	dplist/dptexts.txt
	Sumalert FALSE _mp_PUMP2	Sumalert FALSE _mp_PUMP2	dplist/dptexts.txt
	Sumalert FALSE _mp_SLIDE_VALVE1	Sumalert FALSE _mp_SLIDE_VALVE1	dplist/dptexts.txt
	Sumalert FALSE _mp_SLIDE_VALVE2	Sumalert FALSE _mp_SLIDE_VALVE2	dplist/dptexts.txt
	Sumalert _mp_ANALOG2	Sumalert _mp_ANALOG2	dplist/dptexts.txt
	Sumalert _mp_DRIVE1	Sumalert _mp_DRIVE1	dplist/dptexts.txt
	Sumalert _mp_DRIVE2	Sumalert _mp_DRIVE2	dplist/dptexts.txt
	Sumalert _mp_PUMP1	Sumalert _mp_PUMP1	dplist/dptexts.txt
	Sumalert _mp_PUMP2	Sumalert _mp_PUMP2	dplist/dptexts.txt
	Sumalert _mp_SLIDE_VALVE1	Sumalert _mp_SLIDE_VALVE1	dplist/dptexts.txt
	Sumalert _mp_SLIDE_VALVE2	Sumalert _mp_SLIDE_VALVE2	dplist/dptexts.txt
	Sumalert forced	Sumalert forced	dplist/dptexts.txt
	Syntax correct	语法正确	msg/ssc_wizards.cat
	Syntax error	语法错误	msg/ssc_wizards.cat
	TBA	TBA	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_01.pnl
	Target number of clusters:	目标簇数：	panels/SmartSCADA/Wizard/Classification/Classification_Wizard_02.pnl
	Testing project	测试项目	msg/ssc_errors.cat
	The KPI already exists: 	KPI 已经存在：	msg/ssc_errors.cat
	The Out of Bag (OOB) error rate is the expected percentage of elements that cannot be classified correctly.	Out of Bag (OOB) 错误率是无法正确分类的元素的预期百分比。	msg/ssc_wizards.cat
	The check box cannot be checked since the parameter already contains the starttime of the timed function.	由于参数已包含定时函数的开始时间，因此无法选中该复选框。	msg/ssc_wizards.cat
	The context search returns $1 DP(s)	上下文搜索返回 $1 DP(s)	msg/ssc_wizards.cat
	The error matrix shows the actual classes (rows) compared to the predicted classes (columns). The diagonal elements in the matrix contain the counts of the correct predictions and the off-diagonal elements the incorrect predictions.	误差矩阵显示了与预测类（列）相比的实际类（行）。矩阵中的对角元素包含正确预测的计数，非对角元素包含错误预测的计数。	msg/ssc_wizards.cat
	The following KPI definition can not be deleted because there are instances referencing it: 	无法删除以下 KPI 定义，因为存在引用它的实例：	msg/ssc_wizards.cat
	The importance matrix shows how important each variable is for the prediction model. If a variable is removed from the model, the error rate would rise by the percentage points specified in the corresponding matrix cell. Variables with negative values need to be checked carefully.	重要性矩阵显示每个变量对预测模型的重要性。如果从模型中删除一个变量，错误率会上升相应矩阵单元格中指定的百分点。负值的变量需要仔细检查。	msg/ssc_wizards.cat
	The labelset has been changed. Do you want to apply the changes?	标签集已更改。是否要应用更改？	msg/ssc_errors.cat
	The model becomes invalid when saving the changes and must therefore be retrained. Are you sure to save the changes?	模型在保存更改时变得无效，因此必须重新训练。您确定要保存更改吗？	msg/ssc_wizards.cat
	The newest alert archive has errors	The newest alert archive has errors	dplist/dptexts.txt
	The selected KPI type does not exist	选择的 KPI 类型不存在	msg/ssc_wizards.cat
